Time,Code
1,9.29
2,9.54
3,8.4
4,9.58
5,8.6
6,5.77
7,4.42
8,7.22
9,6.22
10,5.41
11,1.64
12,1.23
13,5.13
14,7.12
15,7.32
16,5.68
17,4.67
18,4.42
19,0.74
20,4.87
21,2.8
22,1.13
23,4.27
24,6.45
25,6.78
26,4.51
27,4.56
28,5.57
29,5.29
30,3.65
31,1.79
32,5.64
33,2.66
34,3.87
35,5.56
36,6.62
37,6.77
38,5.31
39,1.15
40,7.61
41,4.17
42,7.15
43,2.12
44,4.72
45,7.2
46,5.59
47,1.4
48,5.36
49,3.5
50,1.35
51,1.19
52,5.13
53,2.88
54,3.59
55,2.65
56,7.37
57,3.87
58,7.4
59,4.8
60,4.62
61,5.64
62,1.6
63,7.51
64,4.61
65,6.29
66,3.45
67,3.52
68,5.37
69,7.43
70,5.35
71,4.59
72,6.21
73,0.61
74,3.47
75,6.83
76,5.67
77,6.49
78,5.15
79,6.12
80,3.3
81,4.34
82,5.36
83,3.25
84,7.4
85,5.31
86,7.4
87,7.75
88,5.65
89,2.35
90,2.62
91,3.29
92,2.64
93,6.66
94,1.58
95,3.64
96,2.45
97,7.87
98,1.37
99,6.27
100,5.46
101,2.73
102,1.52
103,2.35
104,7.77
105,2.79
106,3.75
107,6.17
108,5.38
109,2.44
110,5.74
111,3.47
112,6.43
113,4.55
114,1.84
115,2.26
116,4.85
117,5.89
118,4.55
119,6.28
120,6.47
121,7.63
122,5.87
123,5.37
124,2.79
125,7.57
126,3.2
127,2.14
128,7.65
129,2.82
130,4.56
131,1.48
132,1.24
133,3.29
134,1.52
135,4.14
136,5.19
137,2.3
138,7.53
139,7.73
140,3.28
141,1.53
142,7.2
143,2.73
144,7.2
145,1.49
146,5.79
147,1.71
148,2.31
149,5.52
150,1.48
151,7.76
152,7.14
153,2.14
154,1.15
155,1.78
156,1.51
157,4.35
158,3.16
159,4.62
160,5.34
161,3.25
162,3.44
163,2.54
164,6.68
165,7.16
166,2.13
167,4.58
168,7.53
169,6.74
170,5.81
171,1.4
172,4.71
173,3.44
174,6.43
175,1.3
176,5.32
177,5.16
178,4.28
179,2.8
180,3.4
181,5.73
182,3.2
183,6.2
184,7.69
185,7.81
186,7.4
187,1.69
188,5.53
189,7.57
190,1.48
191,2.72
192,1.52
193,5.18
194,4.24
195,1.37
196,7.2
197,7.19
198,4.77
199,3.56
200,7.17
201,7.55
202,0.52
203,2.19
204,6.18
205,5.15
206,3.8
207,2.76
208,2.9
209,6.3
210,5.66
211,4.3
212,5.42
213,3.55
214,1.4
215,2.88
216,4.77
217,2.43
218,5.7
219,6.84
220,6.49
221,6.42
222,2.23
223,4.7
224,6.51
225,4.57
226,7.25
227,3.7
228,2.57
229,3.85
230,7.65
231,7.34
232,6.78
233,5.78
234,5.89
235,2.35
236,3.48
237,4.26
238,5.39
239,3.49
240,7.21
241,6.48
242,5.26
243,5.77
244,7.62
245,0.12
246,6.16
247,4.73
248,1.47
249,2.81
250,6.67
251,6.16
252,2.78
253,2.81
254,7.31
255,2.6
256,6.79
257,3.24
258,1.35
259,4.17
260,7.17
261,1.31
262,3.13
263,4.56
264,6.37
265,1.37
266,4.4
267,1.27
268,5.69
269,4.41
270,5.36
271,0.81
272,1.63
273,1.45
274,5.83
275,1.52
276,6.4
277,7.39
278,4.34
279,6.64
280,7.75
281,1.7
282,3.64
283,5.52
284,6.5
285,3.15
286,3.64
