Time,Code
1,9.29
2,9.18
3,8.42
4,9.22
5,8.15
6,3.72
7,7.18
8,2.85
9,1.76
10,7.31
11,3.25
12,3.33
13,7.69
14,7.78
15,3.17
16,5.37
17,4.5
18,2.3
19,3.17
20,7.79
21,5.77
22,1.83
23,5.66
24,3.78
25,5.26
26,4.58
27,4.46
28,2.34
29,7.74
30,1.14
31,6.9
32,5.53
33,4.66
34,2.9
35,2.15
36,2.61
37,4.32
38,3.45
39,5.36
40,5.26
41,3.18
42,1.67
43,3.71
44,5.79
45,1.36
46,2.33
47,1.13
48,6.17
49,3.69
50,3.11
51,3.36
52,2.72
53,4.79
54,7.6
55,7.16
56,5.25
57,4.33
58,3.41
59,2.37
60,1.39
61,4.24
62,7.74
63,3.56
64,4.89
65,4.83
66,0.19
67,1.14
68,2.58
69,2.59
70,5.49
71,2.36
72,1.2
73,5.33
74,4.62
75,2.48
76,2.45
77,4.13
78,4.45
79,6.81
80,7.27
81,2.13
82,3.3
83,5.27
84,2.43
85,3.21
86,1.81
87,3.55
88,5.42
89,6.62
90,7.67
91,1.5
92,1.44
93,7.56
94,2.37
95,6.48
96,6.35
97,4.52
98,6.74
99,7.31
100,4.87
101,1.79
102,3.87
103,6.25
104,4.82
105,2.71
106,3.63
107,1.8
108,6.61
109,5.48
110,4.84
111,2.74
112,2.84
113,1.59
114,3.19
115,7.72
116,4.8
117,5.14
118,2.23
119,5.36
120,5.72
121,4.83
122,4.12
123,1.66
124,1.49
125,7.31
126,7.21
127,3.16
128,5.82
129,3.77
130,7.16
131,5.46
132,2.73
133,3.41
134,7.49
135,4.18
136,1.83
137,7.81
138,5.9
139,4.79
140,7.46
141,6.81
142,2.61
143,7.48
144,1.74
145,2.4
146,2.24
147,2.36
148,7.37
149,5.88
150,1.67
151,1.62
152,1.54
153,4.73
154,5.49
155,1.52
156,4.78
157,3.28
158,2.89
159,6.1
160,1.59
161,3.54
162,4.73
163,5.34
164,7.51
165,4.59
166,4.41
167,3.72
