Time,Code
1,9.21
2,9.78
3,8.71
4,9.3
5,8.5
6,4.59
7,7.1
8,4.31
9,7.28
10,1.82
11,1.12
12,6.53
13,4.65
14,4.68
15,5.28
16,4.85
17,5.29
18,2.64
19,7.47
20,3.84
21,4.77
22,5.84
23,1.25
24,6.79
25,1.69
26,6.88
27,5.85
28,4.51
29,6.25
30,3.57
31,4.78
32,5.41
33,7.13
34,2.69
35,0.42
36,6.24
37,5.81
38,7.64
39,3.17
40,6.51
41,7.23
42,7.41
43,4.69
44,4.13
45,6.78
46,5.57
47,4.62
48,2.5
49,1.72
50,5.84
51,5.29
52,5.38
53,7.56
54,4.83
55,6.54
56,6.1
57,7.79
58,6.51
59,2.51
60,5.26
61,1.48
62,3.56
63,2.85
64,4.49
65,3.43
66,1.53
67,5.73
68,3.47
69,1.74
70,6.24
71,5.24
72,1.74
73,7.78
74,3.13
75,6.16
76,7.11
77,1.7
78,3.3
79,1.74
80,2.38
81,1.23
82,3.52
83,2.63
84,6.67
85,4.66
86,4.48
87,1.35
88,3.44
89,2.31
90,3.82
91,5.88
92,5.45
93,1.28
94,4.22
95,6.87
96,4.66
97,6.44
98,7.28
99,6.74
100,5.46
101,5.62
102,0.42
103,5.74
104,6.6
105,1.69
106,2.87
107,1.35
108,7.16
109,3.7
110,4.55
111,2.11
112,7.13
113,7.27
114,5.47
115,7.79
116,7.66
117,5.13
118,2.38
119,2.56
120,4.57
121,4.18
122,6.41
123,5.5
124,3.59
125,4.82
126,1.23
127,7.36
128,5.73
129,3.44
130,3.64
131,7.4
132,5.38
133,7.65
134,4.71
135,5.29
136,6.13
137,2.24
138,5.27
139,7.37
140,5.77
141,3.37
142,1.33
143,7.86
144,7.86
145,4.21
146,5.72
147,3.13
148,1.4
149,7.22
150,2.37
151,5.57
152,4.16
153,5.28
154,1.86
155,3.81
156,5.53
157,1.47
158,3.19
159,1.76
160,1.59
161,1.17
162,1.76
163,7.13
164,2.73
165,5.44
166,1.46
167,6.29
168,6.78
169,4.83
170,4.75
171,5.83
172,3.54
173,6.48
174,1.27
175,3.13
176,1.73
177,3.68
178,3.46
179,3.42
180,1.83
181,5.88
182,1.3
183,7.59
184,5.79
185,4.63
186,3.25
187,2.35
188,2.39
189,7.32
190,7.46
191,6.56
192,3.85
193,4.87
194,1.36
195,3.73
196,5.81
197,3.3
198,1.54
199,5.75
200,1.3
201,1.75
202,4.16
203,5.79
204,6.16
205,6.11
206,7.73
207,4.48
208,7.22
209,5.72
210,3.16
211,6.24
212,7.22
213,2.76
214,3.34
215,6.51
216,5.33
217,2.21
218,6.13
219,3.76
220,0.6
221,6.83
222,7.85
223,6.26
224,3.45
225,2.14
226,7.63
227,3.72
228,6.87
229,7.44
230,3.53
231,7.53
232,1.42
233,3.24
234,4.12
235,6.85
236,5.12
237,6.38
238,2.57
239,2.31
240,7.32
241,5.42
242,5.17
243,4.11
244,5.35
245,6.84
246,6.61
247,2.29
248,4.65
249,2.67
250,3.55
251,6.83
252,3.88
253,2.14
254,1.71
255,6.8
256,2.51
257,7.81
258,3.34
259,3.78
260,3.23
261,6.69
262,5.17
263,1.82
264,5.56
265,2.22
266,4.27
267,5.68
268,7.14
269,6.41
270,6.38
271,5.78
272,5.68
273,1.52
274,1.75
275,6.18
276,6.83
277,2.88
278,5.77
279,6.65
280,1.46
281,2.88
282,4.85
283,4.42
284,3.45
285,5.83
286,2.2
287,5.53
288,1.63
289,3.3
290,6.55
291,2.52
292,5.12
293,6.88
294,2.77
295,2.24
296,2.53
297,3.35
298,7.3
299,6.46
300,7.75
301,2.54
302,4.44
303,1.72
304,5.8
305,2.33
306,1.82
307,1.19
308,6.11
309,3.87
310,7.68
311,6.21
312,5.4
313,7.35
314,5.64
315,7.52
316,1.2
317,6.46
318,3.53
319,3.73
320,6.56
321,1.62
322,4.41
323,5.1
324,3.61
325,6.81
326,7.68
327,2.89
328,4.58
329,5.43
330,6.67
331,3.66
332,4.6
333,5.26
334,5.1
335,4.56
336,4.37
337,5.57
338,6.66
339,6.15
340,6.3
341,6.33
342,1.43
343,6.22
344,7.85
345,7.32
346,2.71
347,7.72
348,1.38
349,3.74
350,4.8
351,5.34
352,4.77
353,4.24
354,5.14
355,5.18
356,5.44
357,3.15
358,4.12
359,5.67
360,2.65
361,4.61
362,3.58
363,2.52
364,2.81
365,3.15
366,6.76
367,5.63
368,4.51
369,6.14
370,3.62
371,6.9
372,5.32
373,5.69
374,4.55
375,2.49
376,3.79
377,3.67
378,3.87
379,6.3
380,6.12
381,7.6
382,3.84
383,7.3
384,3.25
385,6.69
386,7.88
387,4.57
388,6.22
389,3.47
390,2.21
391,2.82
392,4.39
393,7.42
394,0.19
395,2.67
396,3.15
397,2.42
398,4.84
399,2.14
400,7.58
401,7.27
402,1.5
403,5.75
404,5.45
405,0.63
406,3.19
407,6.24
408,2.42
409,4.46
410,7.23
411,2.29
412,3.47
413,5.41
414,4.67
415,3.5
416,1.83
417,1.14
418,7.1
419,4.36
420,4.78
421,3.84
422,4.23
423,7.71
424,2.73
425,1.11
426,2.8
427,5.15
428,4.3
429,1.47
430,7.34
431,1.13
432,1.52
433,2.13
434,3.72
435,4.17
436,1.5
437,2.7
438,6.75
439,2.63
440,4.36
441,3.88
442,6.61
443,2.15
444,7.57
445,3.44
446,6.55
447,5.88
448,3.54
449,5.26
450,5.44
451,6.16
452,3.69
453,6.88
454,1.3
455,1.22
456,2.78
457,7.14
458,6.17
459,7.51
460,5.4
461,3.13
462,5.13
463,6.2
464,4.71
465,4.12
466,0.52
467,1.3
468,3.17
469,1.79
470,1.69
471,3.69
472,3.74
473,7.19
474,6.34
475,4.77
476,5.55
477,3.84
478,5.73
479,5.48
480,2.62
481,4.52
482,5.68
483,7.57
484,5.53
485,7.89
486,6.23
487,3.41
488,3.18
489,0.38
490,5.15
491,3.75
492,6.53
493,4.34
494,3.32
495,6.7
496,5.11
497,1.22
498,6.36
499,3.56
500,4.88
501,4.46
502,3.84
503,4.75
504,1.84
505,0.74
506,2.14
507,4.56
508,3.73
509,6.56
510,3.39
511,7.61
512,4.35
513,5.88
514,5.51
515,1.22
516,6.28
517,2.83
518,2.71
519,6.6
520,7.18
521,5.65
522,6.19
523,3.15
524,5.52
525,1.78
526,7.78
527,6.77
528,5.79
529,1.57
530,7.49
531,7.33
532,2.58
533,7.82
534,2.44
535,6.39
536,2.74
537,6.16
538,7.9
539,3.43
540,1.7
541,7.4
542,4.16
543,5.81
544,7.56
545,4.13
546,7.89
547,1.25
548,3.66
549,6.1
550,1.76
551,5.81
552,6.35
553,7.53
554,5.9
555,3.52
556,5.85
557,5.43
558,6.56
559,4.34
560,5.46
561,2.54
562,2.3
563,1.9
564,6.63
565,1.39
566,4.33
567,6.82
568,6.11
569,1.84
570,7.1
571,3.47
572,7.73
573,6.7
574,4.71
575,4.46
576,1.49
577,2.43
578,1.9
579,7.31
580,7.2
581,7.33
582,4.31
583,5.33
584,4.65
585,4.37
586,4.27
587,7.49
588,4.67
589,1.15
590,2.87
591,2.68
592,1.3
593,4.72
594,1.42
595,6.25
596,1.17
597,5.86
598,1.54
599,5.44
600,1.86
