Time,Code
1,9.86
2,9.86
3,8.15
4,9.17
5,8.77
6,3.54
7,4.5
8,1.8
9,3.47
10,3.83
11,4.81
12,5.23
13,2.29
14,1.24
15,2.21
16,5.39
17,5.64
18,2.9
19,4.74
20,6.52
21,7.39
22,5.38
23,7.87
24,2.86
25,4.67
26,4.62
27,2.49
28,4.5
29,7.74
30,6.81
31,4.38
32,6.84
33,6.47
34,6.28
35,3.75
36,7.23
37,5.31
38,4.35
39,7.66
40,5.55
41,5.62
42,0.57
43,3.68
44,4.51
45,6.6
46,1.73
47,3.68
48,7.25
49,6.18
50,5.62
51,3.57
52,6.8
53,1.7
54,2.78
55,2.76
56,1.44
57,6.71
58,1.39
59,2.3
60,1.17
61,1.12
62,6.83
63,3.3
64,7.85
65,6.25
66,6.1
67,5.13
68,2.22
69,1.1
70,5.6
71,6.19
72,3.49
73,3.46
74,7.58
75,1.82
76,7.42
77,5.66
78,4.87
79,1.63
80,3.77
81,1.46
82,7.86
83,5.57
84,4.49
85,3.22
86,3.31
87,5.88
88,6.11
89,5.87
90,6.15
91,1.21
92,2.18
93,6.29
94,6.85
95,2.29
96,4.16
97,1.57
98,5.73
99,5.67
100,3.65
101,3.52
102,1.22
103,4.43
104,1.51
105,1.29
106,1.12
107,7.29
108,2.12
109,6.47
110,3.53
111,4.27
112,7.87
113,6.74
114,4.51
115,5.57
116,4.84
117,5.24
118,1.63
119,4.39
120,5.87
121,1.59
122,3.65
123,3.35
124,7.65
125,1.18
126,2.77
127,6.76
128,7.46
129,4.61
130,4.27
131,5.59
132,1.33
133,3.34
134,6.16
135,7.49
136,1.56
137,4.67
138,2.7
139,4.81
140,3.2
141,1.59
142,3.61
143,2.65
144,1.59
145,4.72
146,6.66
147,3.39
148,4.21
149,3.32
150,5.79
151,6.86
152,7.44
153,4.77
154,3.42
155,2.49
156,3.54
157,6.64
158,1.57
159,7.56
160,1.38
161,5.22
162,4.82
163,7.17
164,6.89
165,6.13
166,3.41
167,6.64
168,0.64
169,4.24
170,3.19
171,5.89
172,7.44
173,3.51
174,6.51
175,2.82
176,4.86
177,2.42
178,3.73
179,5.68
180,4.45
181,1.75
182,4.81
183,2.41
184,1.49
185,4.3
186,6.85
187,6.62
188,3.87
189,3.67
190,6.17
191,7.78
192,2.53
193,2.42
194,6.41
195,6.83
196,3.47
197,6.83
198,4.62
199,7.18
200,4.85
201,6.56
202,4.82
203,1.41
204,5.71
205,2.32
206,5.56
207,4.74
208,2.11
209,6.45
210,3.51
211,2.47
212,2.88
213,7.16
214,1.82
215,5.77
216,6.15
217,5.49
218,6.84
219,4.31
220,5.47
221,1.59
222,3.24
223,0.7
224,7.9
225,3.64
226,7.77
227,6.21
228,2.5
229,4.64
230,2.11
231,5.47
232,1.39
233,5.78
234,5.45
235,7.64
236,4.62
237,4.65
238,6.83
239,1.31
240,3.34
241,6.86
242,3.62
243,4.51
244,1.51
245,2.41
246,5.78
247,2.74
248,6.17
249,1.29
250,4.55
251,5.32
252,1.19
253,7.73
254,7.39
255,3.38
256,3.47
257,2.5
258,7.33
259,2.84
260,4.89
261,2.84
262,3.23
263,0.81
264,4.25
265,6.78
266,2.38
267,7.21
268,3.75
269,6.4
270,7.76
271,3.32
272,6.84
273,5.56
274,6.86
275,6.42
276,6.8
277,6.7
278,6.33
279,5.61
280,1.39
281,4.49
282,3.87
283,3.45
284,1.81
285,2.35
286,4.2
287,1.18
288,2.39
289,6.71
290,4.11
291,3.29
292,7.58
293,5.33
294,6.82
295,3.35
296,4.18
297,2.73
298,3.3
299,4.39
300,1.37
301,2.67
302,6.59
303,3.85
304,6.71
305,1.79
306,2.78
307,4.45
308,3.21
309,5.56
310,1.37
311,7.67
312,4.28
313,1.41
314,4.49
315,7.35
316,7.6
317,1.57
318,5.63
319,4.89
320,7.65
321,0.24
322,4.52
323,1.8
324,4.9
325,2.19
326,6.5
327,2.16
328,3.47
329,6.11
330,1.63
331,2.24
332,2.44
333,1.37
334,7.62
335,1.79
336,4.29
